MOVIE, YEAR, MALE MENTIONS, FEMALE MENTIONS
Banarasi Babu,1973,13,5
Hello,2008,46,20
Aakhri Daao,1975,9,2
Ek Baar Kaho,1980,16,6
Sholay,1975,65,7
Hamara Dil Aapke Paas Hai,2000,21,29
Shaadi Karke Phas Gaya Yaar,2006,12,6
Aag Aur Shola,1986,30,6
Khoon Ka Karz,1991,16,7
Tarkieb,2000,7,9
7 Hours to Go,2016,12,0
Eena Meena Deeka,1994,27,0
Ankush,1986,0,4
Yeh Dillagi (1994 film),1994,15,39
Phool,1993,53,24
Aarop,1973,29,10
Ram Balram,1980,14,6
Dastaan (1972 film),1972,87,24
Lalkaar,1972,20,2
Ssukh,2005,12,0
Phir Teri Kahani Yaad Aayee,1993,10,20
God Tussi Great Ho,2008,43,7
Rakht: What If You Can See the Future,2004,20,38
Shatru,1986,34,0
Tehzeeb (2003 film),2003,8,59
Just Married,2007,20,29
Coffee with D,2017,40,0
Zamana Deewana,1995,4,2
Manthan,1976,24,10
Tell Me O Kkhuda,2011,5,26
Bas Ek Pal,2006,53,25
Shikari: The Hunter,1991,4,3
Fan (film),2016,104,3
Kill Dil,2014,50,11
Soch Lo,2010,21,0
Money Hai Toh Honey Hai,2008,7,1
Garv: Pride and Honour,2004,15,0
Striker,2010,23,0
Roop Tera Mastana,1972,11,5
Joru Ka Ghulam (2000 film),2000,17,0
Hum Dono,1985,2,0
Listen... Amaya,2013,0,5
Hameshaa,1997,94,55
Namak Haraam,1973,3,3
Damini  Lightning,1993,5,12
Dushman (1972 film),1972,44,29
Sulemani Keeda (film),2014,7,1
Avtaar,1983,81,31
Kalyug Aur Ramayan,1987,4,0
Vivah,2006,26,27
Love Story 2050,2008,17,11
Ram-Avtar,1988,26,7
Rani Aur Lalpari,1975,0,17
Loha (1997 film),1997,15,1
Khuda Gawah,1992,26,16
Mausam (2011 film),2011,10,0
Singh Is Bliing,2015,76,65
Kurbaan (1991 film),1991,61,3
Sankalp,1975,13,8
Mere Jeevan Saathi (2006 film),2006,54,41
Maya Darpan,1972,12,0
Pinjar,2003,40,51
Mere Apne,1971,0,8
Fareb (1996 film),1996,71,15
Pyar Hua Chori Chori,1992,4,0
Gumrah (1993 film),1993,24,17
Jaan-E-Mann,2006,0,2
Pyaasa,2002,8,5
Asmaan Se Ooncha,1989,17,14
Saagar,1985,8,3
Fool n Final,2007,8,0
Amar Deep,1979,30,7
Asli Naqli,1986,3,12
Dhuaan,1981,18,13
Bidaai,1974,12,13
Dil Chahta Hai,2001,46,57
Yaraana (1995 film),1995,26,31
Nishana,1980,19,14
Raftaar,1975,26,16
Swati (1986 film),1986,13,38
Luck,2009,83,26
Nakshatra,2010,3,0
Arpan,1983,28,49
Khamoshiyan: Silences Have Secrets,2015,31,57
Iqbal,2005,48,1
Ek Thi Daayan,2013,88,74
Bhoothnath Returns,2014,60,0
Ek Anek Aur Ekta,1974,0,2
Pran Jaye Par Shaan Na Jaye,2003,10,0
Lok Parlok,1979,15,2
Anand Ashram,1977,23,3
Yahaan,2005,6,2
Kurukshetra,2000,32,0
Appu Raja,1990,95,8
Family  Ties of Blood,2006,74,0
Pavitra Paapi,1970,21,26
Zameer,1975,23,9
Anand,1971,43,3
Department,2012,23,0
Vijeta,1982,0,0
Don 2: The Chase Continues,2011,34,0
Tumhare Liye,1978,8,13
Takkar (1995 film),1995,100,16
Summer 2007,2008,7,3
Hum Naujawan,1985,11,1
Sorry Daddy,2015,0,0
Sauda (film),1995,72,27
Sheesha,2005,0,0
Aanch,2003,6,9
Footpath,2003,21,4
Jhoothi,1985,4,4
Muskurahat (1992 film),1992,13,4
Befikre,2016,32,23
The Square Circle,1996,26,9
Mickey Virus,2013,25,0
Aandhi-Toofan,1985,0,0
Chor Machaye Shor,1974,3,19
Fugly,2014,27,6
Ishq Click,2016,0,1
Pyaar Ke Do Pal,1986,0,0
Agent Vinod (2012 film),2012,66,66
Sangharsh (1999 film),1999,9,26
Aisa Pyaar Kahan,1986,20,7
Qatl,1986,42,44
Aatish,1979,22,0
Chalk n Duster,2016,0,16
Shaapit,2010,44,7
Ranbhoomi,1991,14,0
Khuddar,1994,19,0
Bumper Draw,2015,1,0
Ek Ladka Ek Ladki,1992,32,13
Chalo Ishq Ladaaye,2002,41,9
Refugee (2000 film),2000,7,14
Khotey Sikkay,1974,25,1
We Are Family,2010,11,70
Ek Se Bure Do,2009,14,0
Mr Ya Miss,2005,0,1
Raavan,2010,59,78
Aakrosh,1980,5,2
Daku Hasina,1987,2,5
Main  Meri Patni Aur Woh,2005,16,0
Khoon Pasina,1977,12,2
Maya Bazaar,1984,19,0
Hum Tum Shabana,2011,0,0
Vaada Raha,2009,8,0
Aashiq Awara,1993,10,4
Traffic (2016 film),2016,16,2
Sarbjit (film),2016,38,10
Kissi Se Na Kehna,1983,9,3
Happy New Year (2014 film),2014,78,39
Ramaa: The Saviour,2010,8,0
Shart: The Challenge,2004,32,30
Gumnaam  The Mystery,2008,12,31
Ek Hi Bhool,1981,14,11
Har Dil Jo Pyar Karega,2000,15,17
Shaadi No. 1,2005,13,11
Fly Away Solo,2015,23,64
Gangster,2006,121,67
Dharti,1970,13,1
Bhumika,1977,20,18
Saaz (1998 film),1998,1,0
Saajan Chale Sasural,1996,0,8
Chameli Ki Shaadi,1986,13,2
Ghatak,1996,67,4
Kati Patang,1970,24,66
Saajan,1991,41,9
Deewana Mastana,1997,26,7
Jo Jeeta Wohi Sikandar,1992,128,19
Insaniyat Ke Devta,1993,11,3
Aamdani Atthani Kharcha Rupaiyaa,2001,2,5
Call Girl,1974,1,30
Bewaffa Se Waffa,1992,3,2
Maha Chor,1976,73,21
Naam O Nishan,1987,25,14
Abhinetri,1970,0,9
Sehar,2005,15,0
Woh Lamhe,2006,7,14
Ramaiya Vastavaiya,2013,57,32
Chaar Sahibzaade,2014,22,0
Dil Ki Baazi,1993,46,5
Heropanti,2014,99,72
Ham Sab Chor Hain (1995 film),1995,17,0
Khelein Hum Jee Jaan Sey,2010,22,24
Lahu Ke Do Rang (1997 film),1997,6,0
Kites,2010,46,15
Ab Tak Chhappan 2,2015,84,4
Khiladi,1992,0,0
Hey Ram,2000,4,0
Karma (1986 film),1986,107,0
Calcutta Mail,2003,28,0
Hare Rama Hare Krishna,1971,47,32
Sharara,1984,0,1
Lorie,1984,1,10
Drishti,1990,7,9
Bezubaan Ishq,2015,12,14
Hum Aapke Hain Koun..!,1994,19,41
Halo,1996,0,2
Do Lafzon Ki Kahani (film),2016,52,30
Kaalia (1997 film),1997,10,1
Doli Saja Ke Rakhna,1998,8,1
Ekka Raja Rani,1994,5,12
Tahkhana,1986,0,0
Ab Insaf Hoga,1995,0,1
Maharathi,2008,50,13
Aazmayish,1995,17,0
Satrangee Parachute,2011,7,0
Click,2010,54,47
Dance Dance (film),1987,21,16
Qayamat Se Qayamat Tak,1988,67,16
Suno Sasurjee,2004,13,3
C.I.D.,1990,12,1
Badmaash Company,2010,64,7
The Namesake,2007,53,20
Parinda,1989,55,0
Jhankaar Beats,2003,14,8
Ek Nari Ek Brahmachari,1971,16,9
Kaminey,2009,94,46
Manzil,1979,8,7
Acid Factory,2009,4,0
Pyaar Ishq Aur Mohabbat,2001,101,72
Brothers (2015 film),2015,126,18
Baby,2015,50,7
Bemisal,1982,19,0
Bhaag Milkha Bhaag,2013,29,1
Salaakhen,1975,8,6
Bajirao Mastani,2015,82,72
Aaja Sanam,1975,5,6
Hum Saath-Saath Hain: We Stand United,1999,116,77
Dattak,2001,23,1
Jaane Tu... Ya Jaane Na,2008,77,66
Prague,2013,5,2
Sitara,1980,4,2
Baaz: A Bird in Danger,2003,3,6
Aparichit,2006,32,12
Honeymoon,1973,0,5
Ahista Ahista,2006,47,38
Haasil,2003,22,3
Anita and Me,2002,0,10
Papeeha,1993,17,0
Dharmatma,1975,154,74
Satya 2,2013,0,1
Henna,1991,27,20
Luv Ka The End,2011,21,54
Nil Battey Sannata,2016,1,26
Angry Indian Goddesses,2015,0,23
Black,2005,6,123
Chhota Bheem And The Throne of Bali,2013,17,5
Andaz (1994 film),1994,6,11
Apartment,2010,5,20
Shirin Farhad Ki Toh Nikal Padi,2012,15,13
Avishkaar,1973,0,0
Raju Chacha,2000,52,13
Mohra (1994 film),1994,100,6
Gour Hari Dastaan,2015,7,0
The Killer,2006,84,14
Jhanjhaar,1987,3,0
Dulhan Wahi Jo Piya Man Bhaaye,1977,0,7
Benaam,1974,12,1
Ek Tha Raja,1996,12,3
Dostana (2008 film),2008,61,52
Lekar Hum Deewana Dil,2014,11,7
Rangeela (1995 film),1995,23,13
Swades,2004,45,16
Speedy Singhs,2011,65,3
Shiv Ram,1991,3,0
John Jani Janardhan,1984,5,0
Blackmail,2005,35,0
Policegiri,2013,64,0
Victoria No. 203 (2007 film),2007,5,2
2001: Do Hazaar Ek,1998,19,0
Chaahat  Ek Nasha,2005,19,31
Well Done Abba,2010,39,20
Mann,1999,30,41
Arjun: The Warrior Prince,2012,6,5
Aatank,1996,2,2
Deewana,1992,66,40
Main Prem Ki Diwani Hoon,2003,26,35
Janbaaz,1986,33,16
Guru,2003,1,0
Plan,2004,44,33
Shaheed Uddham Singh (2000 film),2000,27,0
No Entry,2005,10,8
Dayavan,1988,22,0
What the Fish,2013,0,23
Kotwal Saab,1977,91,29
New York,2009,81,13
Billu,2009,61,0
Hum Tum Aur Ghost,2010,22,10
Mission Kashmir (2000 film),2000,150,13
Main Balwan,1986,8,8
B.A. Pass,2013,12,16
Chatur Singh Two Star,2011,1,0
Waisa Bhi Hota Hai Part II,2003,19,2
Jaan Hatheli Pe,1987,17,0
Adhikar (1986 film),1986,16,7
Nakhuda,1981,27,4
Earth (1998 film),1998,2,2
Ek Ruka Hua Faisla,1986,12,0
Toofan,1989,131,0
Let's Dance,2009,0,1
Naache Mayuri,1986,0,1
Aa Gaya Hero,2017,6,0
Hindustan Ki Kasam (1999 film),1999,64,15
Roy,2015,38,20
Majhdhaar,1996,51,25
Is Raat Ki Subah Nahin,1996,5,0
Pehchaan: The Face of Truth,2005,5,26
Dushman,1971,44,29
Maine Dil Tujhko Diya,2002,43,23
Satte Pe Satta,1982,11,4
Arjun,1985,75,0
Kaun Hai Jo Sapno Mein Aaya,2004,5,2
Krishna,1996,121,16
Sher-E-Hindustan,1997,4,0
Sankat City,2009,4,0
Ek Se Bhale Do,1985,15,0
Dil Tera Aashiq,1993,17,2
Tamasha,2015,67,21
Judaai (1997 film),1997,81,107
David,2013,65,0
Dil Ka Kya Kasoor,1992,25,25
Baaghi: A Rebel for Love,1990,40,35
Nanhe Jaisalmer,2007,35,0
Don: The Chase Begins Again,2006,102,8
Antarmahal,2005,0,0
Viruddh... Family Comes First,2005,55,11
Chakra,1980,19,16
Aakrosh (1998 film),1998,12,2
Waaris,1988,22,1
Hum Se Hai Zamana,1983,9,6
Janata Havaldar,1979,1,0
Mother,1999,0,11
Mumbai Salsa,2007,12,20
Machhli Jal Ki Rani Hai,2014,32,26
Raasaiyya,1995,14,4
Zindagi Na Milegi Dobara,2011,87,26
Hum Kisi Se Kum Nahin,1977,17,0
Kidnap,2008,122,48
Satyam Shivam Sundaram,1978,40,20
Island City (2015 film),2016,5,0
Motu Patlu: King Of Kings,2016,19,1
Zakhm,1998,20,8
Bekhudi,1992,0,6
John Day,2013,60,6
Dharm,2007,10,2
Mahakaal,1993,0,16
Military Raaj,1998,3,0
Raanjhanaa,2013,85,53
Shorgul,2016,0,1
Hulchul (2004 film),2004,67,30
Akira (2016 Hindi film),2016,5,78
Anamika,1973,21,18
Mohenjo Daro (film),2016,1,0
Aakhri Adaalat,1988,15,3
Karobaar: The Business of Love,2000,13,0
Surakshaa (1995 film),1995,32,15
Ekkees Toppon Ki Salaami,2014,5,0
Pazhassi Raja (2013 film),2013,108,4
Ghar Sansar,1986,32,6
Dhokha,2007,33,14
Jungle,2000,18,14
Aloo Chaat,2009,18,8
Kranti (1981 film),1981,10,0
Bandhan Kuchchey Dhaagon Ka,1983,0,23
Ustadon Ke Ustad,1998,1,0
Ziddi,1997,76,8
Kal Kissne Dekha,2009,20,0
Trapped (2016 Indian film),2017,11,25
Kash Aap Hamare Hote,2003,44,18
Kalyug Ke Avtaar,1995,7,5
Dilwale (2015 film),2015,143,70
Inquilaab,1984,17,4
Waqt Ki Awaz,1988,21,1
Koyla,1997,121,64
Paandav,1995,10,0
Khiladi 420,2000,98,26
Roohi,1981,15,0
